,Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
347,Rich Hill,44,69,Maj-AL,Boston,4,0,,1.0,,3.2,1,2,2,3,5,1,1,4.91,10,0,0,0,0,1,1,1,1,15,71,0.56,0.24,0.08,0.5,0.17,0.0,1.091,0.0,12.3,1.67,448179
348,Tim Hill,34,45,Maj-AL,"Chicago,New York",62,0,4.0,,,67.0,77,32,25,19,31,2,2,3.36,266,7,0,2,8,3,3,0,1,291,986,0.69,0.18,0.06,0.68,0.18,0.02,1.433,0.318,4.2,1.63,657612
349,Sean Hjelle,27,45,Maj-NL,San Francisco,58,0,3.0,4.0,,80.2,84,37,35,14,75,10,5,3.9,314,9,1,2,9,1,4,0,0,337,1211,0.68,0.23,0.09,0.59,0.21,0.03,1.215,0.322,8.4,5.36,663546
350,Porter Hodge,23,45,Maj-NL,Chicago,39,0,3.0,1.0,9.0,43.0,19,10,9,19,52,2,1,1.88,144,4,1,0,1,0,3,3,1,164,642,0.62,0.17,0.14,0.4,0.23,0.07,0.884,0.189,10.9,2.74,687863
351,Bryan Hoeing,27,45,Maj-NL,"Miami,San Diego",34,2,2.0,3.0,,53.2,43,15,13,14,43,4,0,2.18,196,5,1,1,5,0,7,2,1,210,782,0.65,0.2,0.09,0.48,0.27,0.05,1.062,0.262,7.2,3.07,663773
352,Jeff Hoffman,31,45,Maj-NL,Philadelphia,68,0,3.0,3.0,10.0,66.1,48,20,16,16,89,6,3,2.17,244,9,2,1,3,2,3,0,0,265,1001,0.67,0.15,0.17,0.38,0.25,0.1,0.965,0.278,12.1,5.56,656546
353,Colin Holderman,28,44,Maj-NL,Pittsburgh,55,0,3.0,6.0,,51.1,42,23,18,25,56,6,5,3.16,188,7,1,0,2,4,9,3,0,223,869,0.62,0.16,0.13,0.4,0.25,0.11,1.305,0.277,9.8,2.24,670059
354,Gavin Hollowell,26,50,Maj-NL,Chicago,1,0,,,,1.1,2,0,0,0,1,0,0,0.0,5,0,0,0,0,0,0,0,0,6,29,0.66,0.17,0.1,1.0,0.0,0.0,1.5,0.5,6.8,,668970
355,Grant Holman,24,48,Maj-AL,Oakland,18,0,1.0,1.0,,15.2,17,8,7,9,16,1,1,4.02,63,3,0,1,1,0,0,0,0,73,292,0.59,0.12,0.12,0.45,0.19,0.13,1.66,0.348,9.2,1.78,680880
356,Clay Holmes,31,44,Maj-AL,New York,67,0,3.0,5.0,30.0,63.0,60,29,22,22,68,4,3,3.14,242,12,0,1,4,3,4,1,0,271,1085,0.65,0.2,0.13,0.65,0.18,0.02,1.302,0.324,9.7,3.09,605280
357,Grant Holmes,28,43,Maj-NL,Atlanta,26,7,2.0,1.0,,68.1,66,27,27,15,70,7,2,3.56,262,10,0,2,5,3,7,0,0,282,1024,0.68,0.14,0.17,0.44,0.23,0.06,1.185,0.314,9.2,4.67,656550
358,Tyler Holton,28,46,Maj-AL,Detroit,66,9,7.0,2.0,8.0,94.1,57,25,23,17,77,7,4,2.19,330,10,2,1,9,1,3,0,0,354,1339,0.66,0.18,0.11,0.48,0.21,0.08,0.785,0.202,7.3,4.53,663947
359,Brent Honeywell Jr.,29,49,Maj-NL,"Los Angeles,Pittsburgh",20,1,1.0,1.0,1.0,37.2,32,12,11,11,18,3,2,2.63,132,8,0,0,6,2,4,0,0,149,594,0.64,0.17,0.06,0.43,0.21,0.04,1.142,0.257,4.3,1.64,641703
360,Bailey Horn,26,56,Maj-AL,Boston,18,0,1.0,1.0,,18.0,22,14,13,10,13,5,0,6.5,75,4,0,2,0,2,2,0,0,88,303,0.65,0.18,0.1,0.48,0.32,0.05,1.778,0.288,6.5,1.3,690544
361,Tanner Houck,28,50,Maj-AL,Boston,30,30,9.0,10.0,,178.2,156,75,62,48,154,11,16,3.12,674,27,0,1,16,4,11,1,0,743,2735,0.66,0.19,0.1,0.55,0.24,0.04,1.142,0.283,7.8,3.21,656557
362,Adrian Houser,31,111,Maj-NL,New York,23,7,1.0,5.0,1.0,69.1,74,48,45,32,45,8,4,5.84,272,23,0,0,6,1,8,4,0,309,1131,0.63,0.18,0.08,0.48,0.21,0.05,1.529,0.3,5.8,1.41,605288
363,Spencer Howard,27,115,"Maj-AL,Maj-NL","Cleveland,San Francisco",9,3,1.0,2.0,,29.0,44,24,20,14,27,5,0,6.21,128,7,2,0,1,1,3,2,0,144,537,0.67,0.16,0.11,0.39,0.21,0.05,2.0,0.402,8.4,1.93,675921
365,Bryan Hudson,27,71,Maj-NL,Milwaukee,43,0,6.0,1.0,,62.1,28,12,12,17,62,7,3,1.73,208,7,1,0,2,2,3,2,2,231,927,0.67,0.19,0.09,0.4,0.26,0.09,0.722,0.149,9.0,3.65,663542
366,Dakota Hudson,29,94,Maj-NL,Colorado,18,18,2.0,12.0,,89.0,99,66,61,50,49,11,5,6.17,346,19,0,0,11,2,6,5,1,404,1512,0.6,0.17,0.07,0.52,0.22,0.03,1.674,0.306,5.0,0.98,641712
367,Daniel Hudson,37,46,Maj-NL,Los Angeles,65,0,6.0,2.0,10.0,63.0,46,25,21,19,63,10,1,3.0,232,8,1,1,3,1,2,2,0,253,999,0.64,0.13,0.15,0.39,0.17,0.09,1.032,0.225,9.0,3.32,543339
368,Brandon Hughes,28,49,Maj-NL,Arizona,15,2,,,,17.2,24,16,16,10,21,8,2,8.15,76,5,0,0,0,1,1,0,0,89,350,0.61,0.15,0.12,0.29,0.25,0.09,1.925,0.333,10.7,2.1,676714
