,pitch_type,release_speed,release_pos_x,release_pos_z,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis
861,FF,95.7,-2.05,5.3,,,,,4.0,L,R,S,2,2,-1.14,1.19,-0.48,2.88,,,,1,1,6.813582484857971,-139.1980008582388,-3.493835220940741,-16.286746307525405,30.943469184992875,-16.061572578390106,3.87,1.74,2480.0,7.1,53.36,5,6,4-Seam Fastball,228.0
862,FS,87.0,-2.1,5.26,,,,,13.0,L,R,S,2,2,-1.21,0.65,-1.07,2.12,,,,1,1,5.059591055621231,-126.71327567550505,-2.782273355143783,-14.015997691817764,24.734787488635405,-24.771687907773863,3.87,1.74,1503.0,7.4,53.11,5,5,Split-Finger,237.0
863,FS,85.4,-2.09,5.15,,,,,13.0,L,R,B,1,2,-1.12,0.73,-0.14,0.62,,,,1,1,7.0143074264867895,-124.15680341427964,-6.001800830142397,-12.973539180458864,23.028740636798727,-23.58139408141908,3.8,1.74,1606.0,7.5,53.03,5,4,Split-Finger,236.0
864,FF,96.5,-2.13,5.18,,,,,6.0,L,R,S,1,1,-0.97,1.33,0.8,2.43,,,,1,1,10.17295377695452,-140.13035295039322,-4.817331685796636,-15.084361965915646,31.580026591026403,-13.723416903446372,3.87,1.74,2484.0,7.3,53.24,5,3,4-Seam Fastball,231.0
866,FF,97.0,-2.11,5.29,,,,,13.0,L,R,B,0,0,-0.75,1.22,-1.27,2.33,,,,1,1,4.0427139049880925,-141.126997177575,-5.248262485078548,-10.93549587363592,32.12292516157439,-14.937896248425544,3.86,1.74,2421.0,7.3,53.25,5,1,4-Seam Fastball,224.0
867,CU,83.5,-2.08,5.31,,,,,7.0,L,R,S,3,2,0.58,-0.65,-0.52,1.57,,,,0,1,2.469839740512824,-121.5993375898288,-0.9137975623611988,5.252713522681329,23.987843033768755,-38.67255489239409,3.59,1.63,2790.0,6.9,53.62,4,9,Curveball,52.0
868,FF,96.0,-2.01,5.23,,,,,4.0,L,R,S,3,2,-0.87,1.29,-0.53,2.48,,,,0,1,6.017606280137409,-139.6203908959805,-4.657929004721462,-12.724558177862525,32.61440255515058,-14.44038688730222,3.59,1.63,2375.0,7.3,53.17,4,8,4-Seam Fastball,223.0
870,FF,96.5,-2.09,5.26,,,,,11.0,L,R,B,1,2,-0.98,1.4,-1.28,3.14,,,,0,1,4.469870281245377,-140.29282053459687,-3.2220979627037143,-13.951106212722928,36.52083303810416,-13.24868719592329,3.56,1.69,2487.0,7.2,53.27,4,6,4-Seam Fastball,226.0
871,CU,83.5,-2.31,5.26,,,,,13.0,L,R,S,1,2,0.49,-0.56,-0.3,0.93,,,,0,1,3.691290374188129,-121.65311278546974,-2.468417608466708,4.154380561765197,23.34576113798495,-37.5111124297147,3.59,1.63,2665.0,6.9,53.57,4,5,Curveball,57.0
872,FF,96.9,-2.17,5.2,,,,,1.0,L,R,S,1,2,-0.77,1.15,-0.36,3.0,,,,0,1,6.6950531223858265,-140.91675976532852,-3.0064548760039287,-11.745284797302975,31.98591212951194,-16.378006978480798,3.59,1.63,2490.0,7.3,53.23,4,4,4-Seam Fastball,229.0
873,FF,95.9,-2.05,5.31,,,,,5.0,L,R,S,1,1,-0.75,1.36,-0.26,2.81,,,,0,1,6.532308254538706,-139.48501244722536,-4.130441225567125,-11.252219974093872,32.583248064621166,-13.694180928257673,3.59,1.63,2524.0,7.3,53.22,4,3,4-Seam Fastball,223.0
874,FF,96.0,-2.19,5.28,,,,,13.0,L,R,S,1,0,-0.92,1.3,-0.91,1.88,,,,0,1,5.563619688591052,-139.61751394373852,-6.37948052621761,-13.366608531473284,33.11858497179662,-13.959984454324337,3.6,1.78,2453.0,7.1,53.45,4,2,4-Seam Fastball,230.0
875,FF,96.0,-2.06,5.3,,,,,13.0,L,R,B,0,0,-0.92,1.32,-1.59,1.62,,,,0,1,3.385444167428715,-139.67124669482166,-7.270649599472292,-12.83244673481092,31.996814759506137,-13.42208099181558,3.49,1.63,2439.0,7.3,53.23,4,1,4-Seam Fastball,226.0
876,SI,96.1,-1.97,5.18,,,,,6.0,L,R,X,1,2,-1.4,0.58,0.54,2.72,,660271.0,669257.0,2,5,10.004000143846891,-139.60723666469775,-2.264992903035633,-20.57715458821813,31.259813933105896,-24.22022964004499,3.68,1.85,2427.0,7.3,53.25,45,4,Sinker,223.0
877,FF,96.2,-1.95,5.29,,,,,2.0,L,R,S,1,1,-0.65,1.18,0.25,3.69,,660271.0,669257.0,2,5,7.431621142961574,-139.90945014460837,-1.322005590517206,-10.280202673091262,32.54015278023724,-16.586728867011477,3.68,1.85,2563.0,7.3,53.22,45,3,4-Seam Fastball,231.0
878,SI,95.7,-1.96,5.18,,,,,12.0,L,R,B,0,1,-1.43,0.47,1.08,3.1,,660271.0,669257.0,2,5,11.404704196466184,-138.91060795281274,-0.9267582519848002,-21.04460833469384,31.20057259732048,-26.053111234311533,3.61,1.79,2368.0,7.1,53.35,45,2,Sinker,223.0
879,FC,93.3,-2.09,5.27,,,,,3.0,L,R,S,0,0,-0.04,0.55,0.72,3.17,,660271.0,669257.0,2,5,7.40611949742979,-135.7095458739176,-0.8486075043464856,-2.008209034862876,28.69195742170155,-25.39205748477992,3.61,1.79,2599.0,7.0,53.49,45,1,Cutter,201.0
880,FF,95.5,-2.09,5.33,,,,,11.0,R,R,B,3,0,-0.47,1.16,-0.82,3.73,,,660271.0,2,5,4.451338549191862,-139.00954081574642,-1.2087199853071935,-7.1381367451140205,31.82517777050588,-17.073428426400124,3.18,1.55,2624.0,6.9,53.6,44,4,4-Seam Fastball,220.0
881,FF,95.1,-1.84,5.39,,,,,12.0,R,R,B,2,0,-0.54,1.23,1.05,2.91,,,660271.0,2,5,8.928021811996256,-138.23107803438276,-3.6641105774004368,-8.873605232701994,31.02107715004141,-15.778916427057808,3.18,1.57,2593.0,7.3,53.21,44,3,4-Seam Fastball,220.0
884,FF,96.3,-1.94,5.4,,,,,11.0,L,R,B,3,0,-0.46,1.06,-0.93,3.53,,,,2,5,3.808802858154914,-140.3063960160573,-1.8217818814795463,-6.98035521093319,32.124179269417255,-17.926946968974875,3.42,1.6,2491.0,7.1,53.4,43,4,4-Seam Fastball,216.0
887,FC,93.1,-2.06,5.33,,,,,12.0,L,R,B,0,0,0.18,0.79,0.05,4.53,,,,2,5,5.0752589822771546,-135.6681471174827,1.9326396297355188,1.2546661943061934,25.746277047093603,-22.839530208776875,3.42,1.67,2531.0,6.8,53.71,43,1,Cutter,194.0
888,FF,95.3,-1.93,5.32,,,,,5.0,L,R,X,3,1,-0.76,1.21,0.0,2.58,,,,2,5,6.914068578310975,-138.68643184018077,-4.392740303335284,-11.234806939121643,28.690282635355544,-15.698332697975614,3.51,1.65,2450.0,7.2,53.25,42,5,4-Seam Fastball,229.0
890,FF,95.3,-2.0,5.32,,,,,3.0,L,R,S,2,0,-0.59,1.05,0.36,3.27,,,,2,5,7.65131547299756,-138.6747864650031,-2.167940244259034,-9.216742027201017,28.15673151078357,-18.270194407336064,3.51,1.65,2312.0,7.2,53.35,42,3,4-Seam Fastball,228.0
891,FF,95.0,-1.96,5.29,,,,,12.0,L,R,B,1,0,-0.6,1.1,0.62,3.7,,,,2,5,8.269469046166831,-138.24139170020848,-1.018546478826613,-9.444914073313695,28.946420976613734,-18.033014717516075,3.39,1.65,2390.0,7.3,53.21,42,2,4-Seam Fastball,224.0
892,FC,91.9,-2.11,5.27,,,,,12.0,L,R,B,0,0,0.11,0.71,0.86,3.62,,,,2,5,7.402492585010946,-133.75319757751876,0.0877447682570776,-0.0552436501477589,25.44338429010256,-23.80685417905129,3.39,1.67,2574.0,7.1,53.39,42,1,Cutter,193.0
893,FF,95.8,-1.98,5.35,,,,,3.0,R,R,S,1,2,-0.46,1.12,0.57,3.03,,,,1,5,7.934615235575399,-139.44983949869732,-3.124302722852186,-7.746915840401824,29.324978490824154,-17.03751462217374,3.37,1.62,2500.0,7.2,53.26,41,4,4-Seam Fastball,220.0
895,ST,85.4,-2.02,5.22,,,,,9.0,R,R,S,0,1,0.75,0.37,0.81,2.05,,,,1,5,5.211291111905806,-124.35421250614952,-1.925137734101897,6.697566282138046,25.139688708531807,-28.1916036716828,3.3,1.62,2558.0,6.7,53.79,41,2,Sweeper,87.0
896,SI,93.9,-2.11,5.26,,,,,13.0,R,R,S,0,0,-1.44,0.52,-1.32,2.45,,,,1,5,5.319598256068128,-136.6797114205578,-2.761807997050969,-19.19519143025781,29.73754721886373,-25.23134912226075,3.44,1.67,1141.0,7.3,53.25,41,1,Sinker,232.0
897,FF,95.1,-1.96,5.36,,,,,5.0,L,R,X,3,2,-0.6,0.87,0.04,2.25,,,,0,5,6.711634150212904,-138.36540528091572,-4.582273415168044,-9.12627077291094,28.20811824875045,-20.173085379772328,3.36,1.67,2431.0,7.3,53.23,40,6,4-Seam Fastball,224.0
898,FF,95.2,-2.0,5.31,,,,,11.0,L,R,B,2,2,-0.84,0.81,-0.8,3.72,,,,0,5,5.119666714523523,-138.67164783909388,-0.4000355250075981,-11.932077482808488,28.838133245869823,-21.75207415249934,3.25,1.64,2472.0,7.1,53.37,40,5,4-Seam Fastball,225.0
900,FF,94.2,-2.08,5.39,,,,,3.0,L,R,S,1,1,-0.61,1.4,0.29,3.45,,,,0,5,7.616044515130553,-137.0949830472975,-2.50433975492635,-9.390466054280472,29.486388873297155,-14.115499426967627,3.36,1.67,2365.0,7.0,53.51,40,3,4-Seam Fastball,219.0
902,FF,93.8,-2.19,5.46,,,,,13.0,L,R,S,0,0,-0.84,0.95,-0.93,2.07,,,,0,5,5.170676516773929,-136.51755923168838,-5.233872605325562,-11.577671668356016,28.2075045605414,-19.37738279749361,3.32,1.57,2396.0,7.1,53.4,40,1,4-Seam Fastball,221.0
903,ST,83.7,-2.15,5.27,,,,,2.0,R,R,X,0,0,1.01,0.49,-0.12,3.21,,,,2,4,2.731814877922827,-122.03908982611762,0.6604301217972227,9.668115441498305,22.29095871716946,-27.61704386046278,3.29,1.66,2594.0,7.0,53.53,30,1,Sweeper,79.0
904,FF,95.2,-2.09,5.28,,,,,12.0,L,R,S,0,2,-0.64,1.19,0.41,3.61,,,,1,4,8.171920948875085,-138.4838643177323,-1.486938287376313,-9.883558670068435,27.8549938596354,-16.61185162503513,3.45,1.66,2506.0,7.3,53.16,29,3,4-Seam Fastball,221.0
906,FF,94.1,-1.91,5.35,,,,,6.0,L,R,S,0,0,-0.6,1.09,0.66,2.86,,,,1,4,8.139409807607281,-136.85968944670427,-3.2227863763874143,-9.33076009430295,30.22846711982974,-18.00758836805913,3.45,1.66,2124.0,7.3,53.22,29,1,4-Seam Fastball,228.0
907,FF,94.9,-1.92,5.38,,,,,11.0,R,R,S,1,2,-0.63,1.03,-0.28,3.88,,,,0,4,5.799390941089833,-138.08618447145952,-0.5698983502431167,-9.392342728509917,30.107215267949776,-19.121323143609818,3.57,1.71,2225.0,7.1,53.39,28,4,4-Seam Fastball,224.0
908,SI,94.3,-1.99,5.23,,,,,7.0,R,R,S,1,1,-1.37,0.59,-0.57,1.71,,,,0,4,6.871466747766656,-137.09792345101386,-4.829340979337623,-18.85312665799526,29.891533477092608,-23.887336136576337,3.57,1.71,2418.0,7.3,53.18,28,3,Sinker,227.0
910,ST,84.4,-2.04,5.28,,,,,8.0,R,R,S,0,0,0.28,0.3,0.04,1.92,,,,0,4,4.344923434282334,-122.82075489817228,-2.054687764577652,1.9424389221055465,24.901626484453367,-28.96467274881748,3.57,1.71,2410.0,7.0,53.5,28,1,Sweeper,81.0
911,FC,89.4,-2.11,5.24,,,,,8.0,L,R,S,1,2,0.39,0.0,-0.07,1.94,,660271.0,,2,3,4.295168329336698,-130.2210449470117,-2.195572923785572,3.603578771970077,25.55061788864624,-31.89121357360584,3.68,1.85,2518.0,7.1,53.38,22,4,Cutter,134.0
913,FC,90.8,-2.1,5.21,,,,,6.0,L,R,S,0,1,0.18,0.72,0.34,2.99,,,660271.0,2,3,5.825213525894841,-132.27264272264827,-1.289701805526781,1.1265093995612103,23.958185895572708,-23.58400931196348,3.68,1.85,2558.0,7.3,53.24,22,2,Cutter,205.0
914,FF,96.2,-1.97,5.33,,,,,8.0,L,R,S,0,0,-0.82,1.45,-0.07,2.18,,,660271.0,2,3,7.018638883342853,-139.89680750814642,-6.173258734888815,-12.273037447432223,30.81894240647864,-11.93470869825216,3.68,1.85,2623.0,7.5,53.05,22,1,4-Seam Fastball,227.0
915,ST,86.3,-2.13,5.16,,,,,9.0,R,R,S,3,2,0.91,0.32,0.55,1.97,,,660271.0,1,3,4.591044211244821,-125.65103743790868,-2.010701004365085,8.671704569632867,26.149326659412385,-28.592141719373668,3.15,1.52,2639.0,7.1,53.44,21,7,Sweeper,61.0
917,FF,96.4,-2.02,5.33,,,,,6.0,R,R,S,2,2,-0.45,1.15,0.69,2.72,,,660271.0,1,3,8.390513430248234,-140.2310514202025,-4.063084907495938,-7.857796883917045,30.98860029319852,-16.28715847403253,3.28,1.6,2464.0,7.4,53.09,21,5,4-Seam Fastball,225.0
918,FF,95.2,-1.98,5.29,,,,,5.0,R,R,S,2,1,-0.89,1.03,0.02,2.54,,,660271.0,1,3,7.410873723916956,-138.45746356852283,-3.9948783389547713,-12.992878038526923,28.76431937805081,-18.228686254541945,3.28,1.6,2450.0,7.4,53.05,21,4,4-Seam Fastball,226.0
919,SI,93.5,-2.08,5.14,,,,,9.0,R,R,B,1,1,-1.24,0.93,0.82,1.62,,,660271.0,1,3,10.386166036564202,-135.77696460781854,-5.4352087704422125,-17.622204940780055,29.57519681507921,-19.675559971026946,3.37,1.44,2403.0,7.4,53.13,21,3,Sinker,227.0
920,ST,83.3,-1.95,5.25,,,,,9.0,R,R,S,1,0,1.44,0.19,0.8,1.82,,,660271.0,1,3,3.513566220897388,-121.25917837258102,-1.7559513888469835,13.4286132759725,25.374778009789804,-30.20934915840238,3.11,1.52,2672.0,7.0,53.46,21,2,Sweeper,65.0
921,SI,94.4,-2.04,5.31,,,,,11.0,R,R,B,0,0,-1.34,0.77,-1.71,3.06,,,660271.0,1,3,3.921267041983805,-137.451442857377,-1.850341587249234,-17.824966508538804,33.1453932911145,-22.2582585910142,3.23,1.52,2297.0,7.2,53.31,21,1,Sinker,225.0
