pitch_type,release_speed,release_pos_x,release_pos_z,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis
FF,97.5,-1.33,6.48,,,,,10.0,L,R,B,1,2,-0.51,1.35,0.78,4.59,,,,0,3,6.798214015540311,-141.96457031215922,-2.6804420629807333,-8.417483085266948,31.14972265532771,-13.48865182548777,3.09,1.44,2619.0,5.9,54.61,18,5,4-Seam Fastball,188.0
SL,85.3,-1.51,6.4,,,,,12.0,L,R,B,0,2,0.44,-0.31,1.53,0.99,,,,0,3,6.246438241427987,-124.1382214668735,-5.869252591666601,3.5357311341648043,20.905546626371773,-34.60931672161473,3.05,1.43,2865.0,6.0,54.53,18,4,Slider,43.0
KC,80.0,-1.43,6.46,,,,,4.0,L,R,S,0,2,-0.04,-1.41,0.25,2.38,,,,0,3,3.749826903285413,-116.4232687964874,0.3625879631419588,-1.0885553915846455,22.088177215943126,-45.30171126257891,3.41,1.56,2609.0,5.8,54.69,18,3,Knuckle Curve,12.0
FF,95.8,-1.33,6.55,,,,,9.0,L,R,S,0,1,-0.44,1.34,-0.21,3.49,,,,0,3,3.9499443881141207,-139.55984508698563,-5.57030363158986,-6.578949364462542,26.25886444384768,-13.573181599264926,3.27,1.52,2379.0,6.1,54.43,18,2,4-Seam Fastball,196.0
FF,95.5,-1.36,6.52,,,,,0.0,L,R,S,0,0,-0.23,1.54,-0.43,2.9,,,,0,3,2.960927725034419,-138.94585309833332,-7.307199769803722,-3.666437211194528,31.6109323999726,-10.852194095788771,3.41,1.56,2513.0,6.0,54.53,18,1,4-Seam Fastball,192.0
FF,95.6,-1.23,6.52,,,,,4.0,R,R,X,2,1,-0.37,1.46,-0.14,2.55,,,,2,2,3.6859026538600106,-139.1277161866151,-8.157825876433868,-5.59057630360043,27.00611848014906,-11.605816132316331,3.41,1.56,2323.0,6.1,54.42,13,4,4-Seam Fastball,189.0
FF,95.6,-1.28,6.46,,,,,5.0,R,R,S,2,0,-0.39,1.46,0.68,2.76,,,,2,2,6.039045430742396,-139.01310312329704,-7.455604626310594,-6.365534568087092,28.140434614715566,-11.70413836208042,3.41,1.56,2339.0,6.2,54.31,13,3,4-Seam Fastball,193.0
FF,96.3,-1.36,6.47,,,,,12.0,R,R,B,1,0,-0.3,1.53,0.41,0.74,,,,2,2,5.3259892296996725,-139.76671831404636,-13.110041069704842,-4.937297376623088,26.88642679902575,-9.571523634905729,3.22,1.5,2608.0,6.3,54.24,13,2,4-Seam Fastball,192.0
FF,96.4,-1.37,6.55,,,,,10.0,R,R,B,0,0,-0.65,1.3,0.46,3.63,,,,2,2,6.313871764355181,-140.21221155198307,-5.158028410975323,-10.01053315681241,30.10051624989476,-13.978763940363171,3.23,1.51,2545.0,6.1,54.43,13,1,4-Seam Fastball,194.0
FF,96.5,-1.44,6.5,,,,,9.0,L,R,X,1,0,-0.3,1.49,-0.89,2.99,,,,1,2,2.109555852259049,-140.49354175102172,-7.216349527607098,-4.417626594588985,27.03563377314501,-10.982486577155806,3.32,1.51,2543.0,6.0,54.46,12,2,4-Seam Fastball,195.0
KC,79.2,-1.38,6.56,,,,,9.0,L,R,B,0,0,0.1,-1.42,-0.97,4.08,,,,1,2,0.6992495338656115,-115.1733837486526,4.008911896707367,0.757771419194702,22.32903430892064,-45.806089744973335,3.08,1.32,2631.0,5.9,54.62,12,1,Knuckle Curve,25.0
SL,85.1,-1.42,6.37,,,,,7.0,R,R,S,3,2,0.68,-0.15,0.09,1.96,,,,0,2,2.1781684444070883,-123.97224283492686,-3.808542207744142,6.6773156913254175,22.265438764952645,-33.22397867043172,3.47,1.71,2915.0,6.0,54.47,11,7,Slider,54.0
SL,86.4,-1.37,6.43,,,,,12.0,R,R,B,2,2,0.66,-0.09,1.55,2.08,,,,0,2,5.598247405854222,-125.79717509992663,-4.007646209170588,6.059733924006094,22.27250377247988,-32.63478368163232,3.42,1.54,2896.0,6.0,54.46,11,6,Slider,60.0
