,"last_name, first_name",pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
186,"Ginkel, Kevin",656464,51.9,9.7,,38.4,,,,,,
187,"Richards, Trevor",670950,46.4,,,,53.6,,,,,
188,"Martinez, Justin",679885,11.4,45.2,,21.6,,,21.8,,,
189,"Bradford, Cody",674003,52.3,,0.7,7.0,27.3,12.8,,,,
190,"Banks, Tanner",621383,30.9,8.4,,32.9,12.9,14.9,,,,
191,"Puk, A.J.",640462,42.9,15.1,,21.6,1.4,,2.6,,16.5,
192,"Farmer, Buck",571656,19.9,24.3,,34.8,21.0,,,,,
193,"Hader, Josh",623352,,71.5,,27.4,1.0,,,,,
194,"Smith, Cade",671922,69.1,,,,,,20.7,,10.2,
195,"Scott, Tanner",656945,59.2,,,40.7,0.1,,,,,
196,"Vest, Will",676684,56.0,12.6,,21.6,9.8,,,,,
197,"Strickland, Hunter",519326,31.9,9.0,31.4,13.1,6.1,,,,8.5,
198,"Sands, Cole",663485,28.2,10.9,29.6,,,14.1,17.2,,,
199,"Brieske, Beau",689225,40.4,15.9,,17.3,26.5,,,,,
200,"Knack, Landon",689017,46.3,,,22.3,14.5,16.2,,,0.7,
201,"Kelly, Merrill",518876,19.6,14.6,25.2,11.8,20.9,7.8,,,,
202,"Kopech, Michael",656629,78.5,,10.5,11.0,,,,,,
203,"Thornton, Trent",663423,20.0,9.2,4.4,21.7,2.5,11.9,,,30.3,
204,"Cruz, Fernando",518585,32.5,,25.6,,,,41.9,,,
205,"Blach, Ty",621389,34.5,16.2,13.7,0.1,24.5,10.9,,,,
206,"Houser, Adrian",605288,16.8,44.5,,17.3,12.7,8.7,,,,
207,"Chapman, Aroldis",547973,34.2,27.2,,26.6,,,12.0,,,
208,"De Los Santos, Enyel",660853,49.4,,,42.9,7.6,,,,,
209,"Barnes, Jacob",606930,47.2,,49.1,3.7,,,,,,
210,"Doval, Camilo",666808,,14.2,34.8,51.1,,,,,,
